region,price,count
Albany / Corvallis,8.532775811575512,1439
Alhambra / Rosemead / El Monte,8.05135480036363,1362
Anaheim,10.486387730274558,1370
Bakersfield,9.429268826879227,2977
Bay City / Saginaw,9.194032925134117,7606
Belleville,8.725802599971827,3370
Bellingham,8.878333015145765,2619
Bend,9.042811274789713,1251
Boulder,7.355051695702605,1025
Bowie,9.921485061511467,1138
Calaveras County,8.266907460455885,1147
Carson City,12.614577731301496,3347
Cathlamet,5.731482222934011,1784
Central Rockies,7.458839523050097,1254
Chicago North,10.075701810112768,5172
Chula Vista / National City,11.357229775873863,1534
Collinsville / Fairview Heights,9.467810115875833,1126
Colorado Springs,7.991222924187869,3324
Columbia,12.272862767153969,2540
Costa Mesa,12.972600899223815,4067
Culver City,11.074319859015333,1297
Denver Downtown,6.98873815216462,3346
Denver East,7.181975537564232,1094
Denver Highlands,9.046747767857168,1040
Denver South,7.238252749808802,4299
Detroit North East,10.027869237156525,2638
Detroit South West,10.6281707222416,3681
Downtown LA,8.105847795899349,25822
Downtown Long Beach,6.982117551791697,4234
East LA,7.910720909153655,6830
East Las Vegas / Henderson,14.230064389414808,8013
Eugene / Springfield,7.538887227394066,3284
Everett / Snohomish County,7.988320501794637,12126
Federal Way / Puyallup,7.5100325018896,4725
Glendale,11.060133518561384,1234
Glenwood Springs,7.911524832589216,1536
Granite Bay / Folsom,7.465756181713611,1739
Greater Eastside / Bellevue,9.379646835468446,14184
Harbor City / Wilmington,7.495825240412019,8017
Humacao,11.78158111497928,26709
Kent / Renton,9.957531471246186,156023
Kitsap Peninsula,8.070061891108514,20403
La Puente,10.160200304811774,3062
Lake Forest,11.919000933706824,2754
Lomita,9.141246344390792,4087
Longview,6.850038341990116,3493
Medford / Grants Pass,9.125483166895888,2389
Modesto,7.54447508381341,1463
Moses Lake,6.914693220509126,2965
Newport / Lincoln City,9.110817722922516,1224
Newport Beach,13.197782605173362,2351
North Hollywood,10.349672883990433,1011
North Las Vegas,8.516720265182293,3516
North Long Beach / Signal Hill,6.882821121801388,8033
Northridge / Chatsworth / Reseda,8.268085453359415,1460
Ocean Shores / Long Beach,8.33329587281085,6197
Olympia / Thurston County,8.376925429894165,1152
Olympic Peninsula,7.975670804965908,2497
Oxnard / Camarillo,8.681100191171357,1370
Palm Desert / Rancho Mirage,8.402782119412342,1371
Palm Springs,9.16964970916603,3553
Pendleton,11.124493710505837,2419
Portland North East,7.788670086119544,2068
Portland South East,7.350695496705209,3830
Pueblo,9.156580271838074,1256
Pullman,7.459613951963742,2397
Reno,11.3810831476146,12051
Rio Grande,11.270238412106801,3757
Rockford,13.130714285714237,1600
Rosamond / Mojave,8.897334977947171,1911
Sacramento,7.254452455390408,2239
Salem,6.440312932633283,1823
Salmon Arm,9.308344689849608,1216
San Francisco,9.09214978457374,1691
San Francisco South,10.215814864864983,1850
San Jose,9.223838140500558,3051
Santa Ana,8.415413091602503,2947
Santa Cruz,10.891128591778653,1170
Santa Fe Springs,11.917787757817601,5010
Santa Rosa,10.41534843757062,1053
Seattle,7.496518475300328,37217
Skagit County,8.138282024159173,23499
South Bay,15.505228223714884,16160
South Long Beach / Belmont Shore,9.894283902527492,1577
Spokane,7.310708151797742,16788
"Springfield, IL",11.207898938668166,1014
Squamish,10.612036236582485,1322
Tacoma,7.400753916651219,7690
The Strip,12.75748731575199,9469
Tillamook,8.191355913257308,1278
Torrance,10.515463514498904,1698
Tri-Cities,7.559387779093293,5671
Vancouver Washington,8.496222121760093,7110
Vernon,9.32610187204655,1572
Victorville,9.851172830792382,1012
Washington DC,41.960235054453875,1056
Wenatchee,7.285173097178342,1718
West Las Vegas,12.085910180451798,19446
Woodland Hills / Tarzana / Canoga Park,9.508039679645298,4113
