zip,price,count
00745,11.270238412106801,3757
00791,11.78158111497928,26709
48218,9.699304372515646,1174
48234,10.248271830471248,1955
48706,9.200429166666448,7440
60056,9.785730362367827,1481
60101,9.412890592537291,2292
61107,13.130714285714237,1600
80205,6.902945137828919,1591
80219,6.765264855942297,1904
80223,7.6158949745906215,1012
80909,5.174138237384497,1474
81230,7.3557480212794255,1101
89014,13.210865163185822,3598
89052,15.078799104730754,1851
89101,19.214834582481615,1258
89102,10.798706706094377,2802
89103,11.856139263536633,5529
89106,8.506851632895929,3081
89109,11.223990376367912,3220
89117,10.784065476190426,1200
89118,12.073335761356283,7992
89121,15.047564724017702,2564
89139-6489,13.684129096097127,1552
89147,11.74997641392313,1918
89148,12.922124984592628,1159
89431,9.839153417257796,4108
89441,11.307502966302692,1505
89501,11.803725038402511,1333
89502,12.192366981601186,2011
89506,11.306313500178497,1467
89701,12.614577731301496,3347
90014,7.578508954602147,1715
90015,9.353846269077419,6755
90021,7.665964570082797,17541
90022,7.814068507098467,5004
90247,16.386285714285364,14000
90248,8.858316896778467,1014
90501,11.034510660678933,1177
90604,8.872692472692401,1443
90606,14.780286667477892,2348
90710,8.77601199294551,3375
90744,7.487351209348928,7885
90805,9.218973214285903,3328
90806,5.230384530134946,4705
90813,6.982117551791697,4234
90815,9.894283902527492,1577
91311,8.310348308934866,1415
91364,9.645850718590628,2876
91911,11.825825928457608,1254
92234,8.951010034272201,1973
92240,9.074439953346207,1184
92276,8.402782119412342,1371
92301,9.851172830792382,1012
92626,17.8567991501064,1143
92627,11.063353771741003,2924
92630,11.919000933706824,2754
92660,13.67846320346348,2046
92705,8.820837753418248,1616
92707,7.92317698830093,1331
93041,8.681100191171357,1370
93308,9.204685840201357,1456
93560,8.881363476114876,1891
94110,9.19151905712379,1503
94112,10.00557324372069,1456
95110,9.280310717320013,1177
95112,9.415941239428676,1357
95249,8.266907460455885,1147
95682,7.6125633232016146,1269
95815,6.065661965423044,1256
97202,6.604707407407429,1890
97206,7.838978458049899,1050
97232,7.718793829183069,1090
97801,11.124493710505837,2419
98002,9.431223479490844,1616
98005,9.484032918003159,2316
98007,9.698305947854488,1578
98012,8.175235173472657,2078
98021,9.325566590272492,2244
98033,8.478896643403168,3009
98042,12.764661141108554,12091
98043,7.044193432406519,1192
98052,11.51261868522143,1971
98056,6.993112962340431,17423
98057,10.848412764521722,78034
98070,7.154966532067431,3927
98087,7.107943746874096,1809
98117,9.000811688311689,2090
98118,8.234022046197328,2579
98148,7.123516469471393,23472
98178,8.248896103896111,3300
98198,8.888713070065466,48475
98223,7.533412092572363,1179
98226,8.977532726237925,1255
98233,7.707089552238807,1608
98249,7.042672662971342,4201
98251,14.631058568124967,1009
98273,8.265855672827543,20181
98284,7.038161375661396,1710
98310,7.98213478611786,1770
98312,9.260772461658616,2012
98329,8.336922464152922,4842
98346,7.539267804765909,3523
98362,7.6634085213032686,1045
98367,6.267069843944322,1187
98373,7.021934758155274,2032
98383,8.246690909090871,2750
98402,7.226440889033282,1759
98405,7.252684588609941,1929
98408,7.1068690296631365,2652
98528,7.583793299746694,3346
98569,8.760372340425558,3760
98612,5.731482222934011,1784
98624,7.738511353615528,2160
98626,6.969223399118844,1578
98632,6.751827365410918,1915
98661,10.03579092030001,4171
98684,6.097282905143753,2619
99139,4.800122749590845,1222
99163,7.860833584488635,1422
99169,5.280990537240522,1872
99201,7.132920907691385,6372
99206,7.291055959352967,5464
99208,9.592280861389193,2198
99350,7.347923588039895,4644
99826,6.936014625228556,1094
K0K 1X0,8.465327380952369,1216
K0K 3A0,7.972178165477131,1261
